SuburbName,PostalCode,Latitude,Longitude,DistCityCenter,Schools,Parks,Stations
Bellfield,3081,-37.7531065,145.0384784,9.753178429624151,18,26,10
Briar Hill,3088,-37.706370299999996,145.1216479,18.360735914405307,15,10,4
Bundoora,3083,-37.69730565,145.066254356098,16.358531017626515,10,13,2
Eaglemont,3084,-37.7651442,145.06333130000004,10.10037456113577,18,23,7
Eltham,3095,-37.71787,145.156690129179,19.762347791931614,7,11,2
Eltham North,3095,-37.697892100000004,145.14178069999997,20.26628183030649,11,9,4
Greensborough,3088,-37.6988474,145.1074004,18.185738640643013,12,8,3
Heidelberg,3084,-37.75247879999999,145.0701284,11.519306508350981,16,21,6
Heidelberg Heights,3081,-37.7451831,145.0529194,11.188990273201682,15,23,6
Heidelberg West,3081,-37.73824310000001,145.04339219999997,11.396561480186662,16,18,7
Ivanhoe,3079,-34.259202,118.8425669,2375.8932765539707,0,0,0
Ivanhoe East,3079,-37.7733903,145.0617815,9.388215653509883,15,24,6
Lower Plenty,3093,-37.738843700000004,145.116224,15.526245918583925,13,18,1
Macleod,3085,-23.72083,113.6817,3354.7825010915953,0,0,0
Montmorency,3094,-37.7189715,145.12562309999996,17.60981251543367,10,13,3
Rosanna,3084,-37.739634499999994,145.0696349,12.56662318924597,13,17,5
St Helena,3088,-37.689513500000004,145.1295774,20.225891128343143,9,8,4
Viewbank,3084,-37.73991029999999,145.0932329,13.941512460520075,12,17,3
Watsonia,3087,-37.7097848,145.0832709,15.945836653672455,14,13,4
Watsonia North,3087,-37.696046,145.084977,17.303356561579818,13,14,3
Yallambie,3085,-37.7251655,145.09352180000005,15.151179197713597,12,14,5
Beaumaris,3193,-37.982212200000006,145.03890980000003,17.965351304203118,10,11,3
Black Rock,3193,-32.74183,138.8079,795.8503433957459,0,0,0
Brighton,3186,-37.90560815,145.00275061303302,8.910919660769395,22,15,8
Brighton East,3187,-37.917172799999996,145.01636630000004,10.470269260508893,21,19,10
Cheltenham,3192,-37.96341810000001,145.0615668,16.726741958810333,13,14,4
Gardenvale,3185,-37.8981194,145.00918240000001,8.25993098284325,26,19,10
Hampton,3188,-27.3570077,152.06924030000005,1339.6853589654077,0,0,0
Hampton East,3188,-37.9385409,145.0306726,13.125527941453655,14,22,8
Highett,3190,-37.9504036,145.039797,14.641688031018582,12,23,5
Moorabbin,3189,-37.9414646,145.05783830000001,14.400554838274289,12,21,6
Sandringham,3191,-37.96741225,145.035302528145,16.298914852097163,14,19,5
Ashburton,3147,-37.86735820000001,145.0806524,9.897914151980189,21,27,16
Balwyn,3103,-37.8091737,145.08336780000005,9.321911969077586,24,26,8
Balwyn North,3104,-37.7919518,145.0842372,9.990801068392342,21,22,0
Camberwell,3124,-37.838462299999996,145.0740767,8.365263621694186,33,24,16
Canterbury,3126,-24.64539,113.9253,3275.98318579248,0,0,0
Deepdene,3103,-34.27798,115.0504,2708.39970249732,0,0,0
Glen Iris,3146,-37.855814,145.06461169999997,8.080731688835469,30,28,19
Hawthorn,3122,-37.8355533,145.055224565243,6.6803612338284974,38,25,18
Hawthorn East,3123,-37.8313785,145.04997969999997,6.1749661291163385,37,24,18
Kew,3101,-37.8033586,145.03332849999995,5.41477143677537,26,19,11
Kew East,3102,-37.7904215,145.0527906,7.624792644574432,25,26,5
Mont Albert,3127,-28.185809999999996,114.35191999999999,3034.6318665777862,0,0,0
Mont Albert North,3127,-37.8033152,145.1107226,11.810760803462436,18,25,5
Surrey Hills,3127,-37.8271881,145.09783259999998,10.364627616807107,25,17,11
Albanvale,3021,-37.7460824,144.7685623,20.66609127389949,11,5,2
Albion,3020,-37.77638029999999,144.81607130000003,15.47878999025465,9,10,4
Ardeer,3022,-37.775868100000004,144.8014637,16.698861531457986,10,8,5
Brooklyn,3012,-37.8160898,144.84147480000001,12.225019436019284,8,5,2
Cairnlea,3023,-37.7593157,144.78780980000005,18.50785096629557,9,7,5
Calder Park,3037,-37.676263899999995,144.7611396,25.55684909298059,2,3,1
Deer Park,3023,-37.7686602,144.7713077,19.464581133103785,1,2,3
Delahey,3037,-37.7198138,144.7773228,21.463456004291093,14,11,3
Derrimut,3030,-37.798797799999996,144.776051,18.191982325225087,2,4,2
Hillside,3037,-21.7298708,119.39504950000001,3033.302713829167,0,0,0
Kealba,3021,-37.7371074,144.8282988,16.694830610370268,11,9,3
Keilor,3036,-37.7113545,144.8250696,18.768745411333736,6,7,0
Keilor Downs,3038,-37.720576200000004,144.80476140000005,19.456680650395363,13,9,2
Keilor East,3033,-37.7383776,144.8561207,14.72089695026324,11,7,0
Keilor Lodge,3038,-37.69841339999999,144.79981569999995,21.376508826564482,5,6,1
Keilor North,3036,-37.6816313,144.7930224,23.095352554764986,2,3,1
